"CD","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2291001,518,NA,2,NA,2,NA,3,0.97418145850891,3,NA,2,NA,1
2291002,432,NA,1,NA,2,NA,3,0.975254271701839,3,NA,2,NA,1
2291003,414,NA,1,NA,3,NA,3,0.982489483579846,3,NA,3,NA,1
2291004,93,NA,1,NA,3,NA,3,0.999208424237005,3,NA,3,NA,1
2291005,289,NA,2,NA,3,NA,3,0.990511156358742,3,NA,3,NA,1
2291006,218,NA,1,NA,3,NA,3,0.995391467394926,3,NA,2,NA,1
2291007,211,NA,1,NA,3,NA,3,0.995981102776448,3,NA,2,NA,1
2291008,480,NA,1,NA,1,NA,3,0.988692675620942,3,NA,3,NA,1
2291009,267,NA,2,NA,3,NA,3,0.991849452666014,3,NA,1,NA,1
2291010,274,NA,1,NA,3,NA,3,0.992275744057437,3,NA,2,NA,1
2291011,542,NA,2,NA,3,NA,3,0.976177050352193,3,NA,3,NA,1
2291012,183,NA,1,NA,3,NA,3,0.994957983625946,3,NA,1,NA,1
2291013,351,NA,1,NA,2,NA,3,0.983788482162125,3,NA,1,NA,1
2291014,569,NA,2,NA,2,NA,3,0.974944946231242,3,NA,3,NA,1
2291015,600,NA,2,NA,1,NA,3,0.959161272624296,3,NA,1,NA,1
2291016,739,NA,2,NA,1,NA,3,0.946193167192112,2,NA,3,NA,1
2291017,227,NA,1,NA,3,NA,3,0.997300903793194,3,NA,1,NA,1
2291018,210,NA,1,NA,3,NA,3,0.99567053196194,3,NA,2,NA,1
2291019,149,NA,1,NA,3,NA,3,0.997964296799971,3,NA,1,NA,1
2291020,468,NA,2,NA,3,NA,3,0.980374227747163,3,NA,2,NA,1
2291021,552,NA,2,NA,2,NA,3,0.961443207224873,3,NA,2,NA,1
2291022,405,NA,2,NA,3,NA,3,0.980511082091008,3,NA,2,NA,1
2291023,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
2291024,658,NA,2,NA,1,NA,3,0.940953516169459,2,NA,3,NA,1
2291025,143,NA,1,NA,3,NA,3,0.996817813913344,3,NA,1,NA,1
2291026,387,NA,1,NA,2,NA,3,0.980821030498414,3,NA,2,NA,1
2291027,931,NA,3,NA,1,NA,3,0.898471641990522,2,NA,3,NA,1
2291028,351,NA,1,NA,3,NA,3,0.979514748693628,3,NA,2,NA,1
2291029,160,NA,1,NA,3,NA,3,0.997219104138476,3,NA,3,NA,1
2291030,13,NA,1,NA,3,NA,2,0.999977556264762,3,NA,1,NA,1
2291031,332,NA,1,NA,3,NA,3,0.988662464509927,3,NA,3,NA,1
2291032,194,NA,1,NA,3,NA,3,0.996432595298998,3,NA,2,NA,1
2291033,237,NA,1,NA,3,NA,3,0.993853351392847,3,NA,3,NA,1
2290916,504,NA,1,NA,2,NA,3,0.969496708578686,3,NA,2,NA,1
2290924,109,NA,1,NA,3,NA,3,0.999452952360927,3,NA,1,NA,1
2290925,498,NA,3,NA,3,NA,3,0.966045286660144,3,NA,2,NA,1
2290926,239,NA,1,NA,3,NA,3,0.99269562518542,3,NA,2,NA,2
2290927,243,NA,1,NA,3,NA,3,0.991698933705316,3,NA,2,NA,1
2290928,254,NA,1,NA,3,NA,3,0.988993508545274,3,NA,1,NA,1
2290930,404,NA,1,NA,3,NA,3,0.962227726480457,3,NA,2,NA,2
2290931,152,NA,1,NA,3,NA,3,0.993893670130342,3,NA,1,NA,1
2290932,211,NA,1,NA,3,NA,3,0.988313635787565,3,NA,1,NA,1
2290933,304,NA,2,NA,3,NA,3,0.991161061141486,3,NA,2,NA,1
2290934,443,NA,1,NA,2,NA,3,0.977842602486823,3,NA,2,NA,1
2290935,592,NA,2,NA,2,NA,3,0.973023648872446,3,NA,3,NA,1
2290936,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
2291301,396,NA,1,NA,2,NA,3,0.97001018384354,3,NA,1,NA,1
2291302,468,NA,1,NA,2,NA,3,0.973990909236817,3,NA,2,NA,1
2291303,500,NA,3,NA,3,NA,3,0.958576019783333,3,NA,2,NA,1
2291304,546,NA,3,NA,3,NA,3,0.942979610463252,2,NA,3,NA,1
2291307,642,NA,2,NA,1,NA,3,0.962676451807518,3,NA,3,NA,1
2291308,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
2291309,510,NA,2,NA,2,NA,3,0.973084970538952,3,NA,3,NA,1
2291310,393,NA,2,NA,3,NA,3,0.98603124298942,3,NA,1,NA,1
2291311,336,NA,1,NA,3,NA,3,0.986441467272577,3,NA,3,NA,1
2291312,504,NA,2,NA,3,NA,3,0.962009950208335,3,NA,3,NA,1
2291313,588,NA,3,NA,3,NA,3,0.964182460343327,3,NA,1,NA,1
2291314,519,NA,3,NA,3,NA,3,0.97249135837333,3,NA,3,NA,1
2291315,966,NA,3,NA,1,NA,3,0.934885685224872,2,NA,3,NA,1
2291316,347,NA,1,NA,3,NA,3,0.986230432861211,3,NA,2,NA,1
2291317,442,NA,3,NA,3,NA,3,0.962377932913334,3,NA,2,NA,1
2291318,907,NA,3,NA,1,NA,3,0.894502035966333,2,NA,3,NA,1
2291319,362,NA,2,NA,3,NA,3,0.981036950408249,3,NA,3,NA,1
2291320,493,NA,1,NA,2,NA,3,0.975432143997965,3,NA,3,NA,1
2291321,449,NA,2,NA,3,NA,3,0.977291716582337,3,NA,3,NA,1
2290103,492,NA,1,NA,1,NA,3,0.909647172063047,2,NA,3,NA,2
2290104,283,NA,1,NA,3,NA,3,0.991295162591962,3,NA,1,NA,1
2290105,662,NA,3,NA,2,NA,3,0.861793785811694,1,NA,3,NA,1
2290106,239,NA,1,NA,3,NA,3,0.980210974602016,3,NA,3,NA,1
2290107,354,NA,1,NA,3,NA,3,0.966370428951896,3,NA,2,NA,2
2290108,778,NA,2,NA,1,NA,3,0.873865485439126,1,NA,3,NA,1
2290109,440,NA,2,NA,3,NA,3,0.942927239540579,2,NA,3,NA,3
2290110,726,NA,3,NA,2,NA,3,0.892144074735547,2,NA,1,NA,1
2290111,461,NA,3,NA,3,NA,3,0.959052379720861,3,NA,1,NA,1
2290112,336,NA,2,NA,3,NA,2,0.991042303747623,3,NA,1,NA,1
2290113,650,NA,2,NA,1,NA,3,0.912885550916835,2,NA,3,NA,1
2290401,339,NA,1,NA,3,NA,3,0.973748852466371,3,NA,3,NA,1
2290402,461,NA,2,NA,3,NA,3,0.944763113511054,2,NA,3,NA,1
2290403,486,NA,3,NA,3,NA,3,0.959490543991247,3,NA,3,NA,1
2290404,411,NA,2,NA,3,NA,3,0.98111004272004,3,NA,1,NA,2
2290405,535,NA,2,NA,2,NA,3,0.949664649423973,2,NA,3,NA,1
2290406,489,NA,2,NA,3,NA,3,0.968732180774359,3,NA,2,NA,1
2290407,486,NA,2,NA,3,NA,3,0.961733283630215,3,NA,2,NA,1
2290408,391,NA,1,NA,3,NA,3,0.95894925295573,3,NA,3,NA,1
2290409,294,NA,1,NA,3,NA,3,0.97770669526119,3,NA,3,NA,1
2290410,339,NA,1,NA,3,NA,3,0.979322078470016,3,NA,3,NA,1
2290411,388,NA,1,NA,2,NA,3,0.955050226837473,3,NA,3,NA,1
2290501,392,NA,1,NA,2,NA,3,0.985927624655106,3,NA,2,NA,1
2290506,320,NA,1,NA,3,NA,3,0.979033338253537,3,NA,3,NA,1
2290507,490,NA,2,NA,3,NA,3,0.96213336903411,3,NA,3,NA,1
