"CD","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2120615,958,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,1
2120616,344,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,2
2120701,790,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2
2120702,258,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,3
2120703,727,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2120704,1129,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2
2120705,1370,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,2
2120706,1132,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,2
2120707,1051,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,2
2120708,232,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,2
2120709,173,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,2
2120710,668,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2120711,329,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,1
2120712,661,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2120713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2120714,699,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,2
2120715,974,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,2
2120716,318,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,2
2120717,601,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3
2120718,638,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,3
2120719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2120720,471,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3
2120801,660,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2120802,673,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,2
2120803,572,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,1
2120804,534,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,2
2120805,804,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2120806,838,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,1
2120807,888,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,2
2120808,1323,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,2
2120809,626,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,1
2120810,679,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,2
2120811,808,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2120812,1079,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,1
2120813,1022,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,2
2120814,477,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,1
2120901,854,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1
2120902,308,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
2120903,559,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,1
2120904,739,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,2
2120905,518,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,2
2120906,607,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2120907,447,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,1
2120908,398,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,1
2120909,511,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,2
2120910,593,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2120911,558,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,1
2120912,846,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2120913,739,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2120914,392,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2120915,443,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,1
2120916,276,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
2121001,894,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2121002,912,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,2
2121003,791,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,1
2121004,788,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2121005,594,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2121006,669,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,2
2121007,558,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1
2121008,112,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
2121009,528,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,2
2121010,617,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,2
2121011,1047,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
2121012,440,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1
2121013,808,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,1
2121101,476,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,2
2121102,390,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2121103,373,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,1
2121104,466,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,1
2121105,679,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2
2121106,640,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,1
2121107,821,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2121108,609,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2121109,461,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1
2121110,413,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1
2121111,577,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2121112,751,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2
2121113,648,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,2
2121114,27,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,3
2121115,338,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
2121116,911,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
2121117,639,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,2
2121118,642,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
2121119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2121201,850,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
2121202,644,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
2121203,456,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2121204,1008,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,3
2121205,785,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2121206,955,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
