"CD","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
"1210205",687,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210206",389,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210207",755,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210208",415,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210209",445,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210210",944,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210212",697,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210301",594,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210302",848,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210303",1043,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210304",915,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210305",1353,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,3
"1210306",329,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1210307",663,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210308",580,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210309",412,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210310",1063,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210311",1160,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210312",706,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210313",524,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210314",494,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210315",470,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210401",452,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210402",340,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210403",558,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210404",543,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210405",673,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210406",626,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210407",870,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210408",648,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210409",352,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210410",527,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210411",676,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210412",622,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210501",652,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210502",794,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210503",422,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210504",364,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210505",256,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210506",929,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210507",503,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210508",518,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210509",791,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210510",798,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210511",474,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210601",825,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210602",461,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210603",494,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210604",369,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1210605",323,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210606",325,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210607",498,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210608",394,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,2
"1210609",262,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210610",338,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210611",406,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210612",617,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210701",248,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210702",502,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210703",478,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210704",542,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210705",350,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210706",349,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1210707",196,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210708",1125,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210709",215,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1210710",398,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210711",493,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210712",690,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210713",378,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1210714",427,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210717",465,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210801",324,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210802",604,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210803",453,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210804",618,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210805",243,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210806",437,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210807",417,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210808",355,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1210809",349,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210810",598,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210811",430,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210812",1022,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210813",356,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1210814",601,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210815",337,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210901",779,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210902",496,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210903",297,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210904",592,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1210905",614,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1210906",1140,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210907",638,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210908",496,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210909",406,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210910",505,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210911",377,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210912",816,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210913",734,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210914",443,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210915",231,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1211001",403,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211002",312,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211003",731,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211004",623,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211005",714,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211006",750,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211007",701,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211008",911,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211009",748,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211010",262,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211011",852,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1211012",836,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1211101",919,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1211102",298,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,2
"1211103",416,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211104",377,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,3
"1211105",586,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,2
"1211106",933,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,2
"1211107",937,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,2
"1211108",491,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,3
"1211109",769,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1211110",711,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211111",462,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,3
"1211112",378,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211113",76,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1211201",789,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211202",711,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211203",493,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211204",659,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211205",574,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211206",847,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211207",699,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211208",731,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211209",829,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211210",389,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1211211",569,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211301",337,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1211302",404,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211303",137,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211304",231,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211305",168,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1211306",230,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211307",356,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211308",375,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211309",434,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211310",386,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211311",322,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1211313",242,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211401",214,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211402",223,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211403",199,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211404",416,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211405",313,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211406",394,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211407",519,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211408",467,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211409",469,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211410",392,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1211411",626,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211501",380,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211502",266,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211503",465,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211504",395,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211505",777,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211506",707,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1211507",192,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,2
"1211508",401,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1211509",521,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211510",266,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211511",253,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1211601",701,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211602",632,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1211603",692,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211604",503,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211605",339,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211606",416,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211607",535,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211608",333,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211609",803,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211610",643,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211611",595,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211612",199,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211613",644,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211701",684,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211702",601,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211703",748,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211704",583,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211705",699,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211706",620,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211707",603,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211708",539,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211709",941,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1211710",533,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211801",293,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211802",420,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,2
"1211803",223,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,2
"1211804",719,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211805",738,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1211806",546,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1211807",572,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211808",472,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1211809",451,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,3
"1211810",620,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211901",359,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1211902",287,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,3
"1211903",841,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1211904",768,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1211905",484,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,2
"1211906",357,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1211907",718,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1211908",300,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,2
"1212001",1052,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1212002",725,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1212003",308,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,3
"1212004",1010,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1212005",538,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1212006",1054,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1212007",785,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1212008",417,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1212009",625,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1212010",646,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1220101",193,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1220102",298,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1220103",584,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,2
"1220104",518,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1220105",153,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,3
"1220106",274,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1220107",236,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1220108",276,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1220109",529,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1220110",242,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1220111",499,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1220201",689,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,3
"1220202",816,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,3
"1220203",474,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1220204",645,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1220205",376,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1220206",742,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1220207",510,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,3
"1220208",1131,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,3
"1220209",349,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1220210",945,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,3
"1220211",440,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1220212",1386,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1220301",698,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1220302",858,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1220303",458,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1220304",461,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1220305",459,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1220306",1171,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,2
"1220307",819,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1220308",779,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,3
"1220309",349,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1220310",526,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1220311",355,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1220312",879,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1220401",530,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1220402",529,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,3
"1220403",642,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,2
"1220404",606,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1220405",397,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1220406",481,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1220407",378,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1220408",410,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1220409",459,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1220410",475,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1220411",772,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,3
