"SA1","Total population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1103129,563,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103130,306,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103131,605,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103132,17,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1
1103133,375,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103134,424,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103135,420,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103136,399,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103137,267,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103138,494,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1103201,380,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103202,473,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1
1103203,746,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103204,487,NA,2,NA,1,NA,3,NA,1,NA,2,NA,3
1103205,250,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103206,53,NA,1,NA,3,NA,1,NA,1,NA,1,NA,1
1103207,226,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103208,444,NA,2,NA,2,NA,3,NA,1,NA,2,NA,3
1103209,784,NA,3,NA,1,NA,2,NA,1,NA,3,NA,3
1103210,185,NA,1,NA,2,NA,3,NA,1,NA,1,NA,1
1103211,545,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1103212,481,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103213,10,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,1
1103214,637,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103215,187,NA,1,NA,3,NA,3,NA,1,NA,2,NA,3
1103216,301,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103217,193,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103218,567,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103219,345,NA,2,NA,2,NA,3,NA,2,NA,1,NA,3
1103220,340,NA,2,NA,2,NA,3,NA,1,NA,3,NA,2
1103221,300,NA,2,NA,3,NA,3,NA,1,NA,2,NA,1
1103222,631,NA,3,NA,2,NA,3,NA,1,NA,2,NA,2
1103223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103224,469,NA,3,NA,2,NA,3,NA,2,NA,2,NA,3
1103225,242,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
1103226,242,NA,1,NA,2,NA,3,NA,1,NA,2,NA,2
1103227,550,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1103228,678,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1103229,324,NA,1,NA,2,NA,3,NA,1,NA,1,NA,2
1103230,455,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103231,455,NA,2,NA,1,NA,3,NA,1,NA,3,NA,2
1103232,456,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103233,309,NA,2,NA,3,NA,2,NA,1,NA,2,NA,3
1103234,713,NA,3,NA,1,NA,2,NA,1,NA,3,NA,3
1103235,336,NA,1,NA,2,NA,3,NA,1,NA,1,NA,1
1103236,496,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1103237,331,NA,2,NA,2,NA,3,NA,2,NA,2,NA,3
1103238,307,NA,1,NA,2,NA,2,NA,1,NA,2,NA,3
1103239,620,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103240,347,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103241,396,NA,2,NA,2,NA,3,NA,1,NA,2,NA,3
1103242,550,NA,2,NA,1,NA,3,NA,1,NA,2,NA,2
1103243,521,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103244,711,NA,2,NA,1,NA,2,NA,1,NA,1,NA,1
1103301,238,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103302,484,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103303,389,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
