"SA1","Total Persons","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1103128,407,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2
1103129,548,NA,2,NA,1,NA,2,NA,2,NA,3,NA,3
1103130,313,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
1103131,670,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103133,399,NA,2,NA,2,NA,2,NA,1,NA,3,NA,2
1103134,422,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103135,411,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103136,401,NA,2,NA,2,NA,1,NA,1,NA,3,NA,2
1103137,218,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103138,542,NA,1,NA,1,NA,3,NA,1,NA,2,NA,3
1103201,402,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103202,486,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103203,720,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103204,680,NA,3,NA,1,NA,3,NA,1,NA,2,NA,3
1103205,239,NA,1,NA,3,NA,3,NA,1,NA,1,NA,3
1103206,71,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1
1103207,298,NA,2,NA,3,NA,3,NA,2,NA,1,NA,3
1103208,446,NA,3,NA,3,NA,3,NA,2,NA,2,NA,3
1103210,169,NA,1,NA,3,NA,3,NA,1,NA,1,NA,2
1103211,575,NA,2,NA,1,NA,2,NA,1,NA,2,NA,3
1103212,472,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103213,90,NA,1,NA,3,NA,2,NA,1,NA,1,NA,1
1103214,605,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103215,211,NA,1,NA,3,NA,3,NA,1,NA,1,NA,2
1103216,320,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103217,160,NA,1,NA,3,NA,3,NA,1,NA,2,NA,1
1103218,444,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103219,358,NA,3,NA,3,NA,3,NA,2,NA,2,NA,3
1103220,352,NA,2,NA,3,NA,3,NA,2,NA,2,NA,3
1103221,285,NA,1,NA,3,NA,3,NA,1,NA,2,NA,3
1103223,NA,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,1
1103224,460,NA,2,NA,2,NA,3,NA,2,NA,1,NA,3
1103225,233,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
1103226,234,NA,1,NA,1,NA,3,NA,1,NA,1,NA,2
1103227,562,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103228,699,NA,3,NA,1,NA,3,NA,1,NA,1,NA,2
1103229,447,NA,2,NA,2,NA,3,NA,1,NA,2,NA,2
1103230,524,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1103231,498,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1103232,464,NA,1,NA,1,NA,1,NA,1,NA,1,NA,2
1103233,360,NA,2,NA,2,NA,2,NA,1,NA,2,NA,3
1103234,745,NA,3,NA,1,NA,2,NA,1,NA,3,NA,3
1103235,374,NA,2,NA,2,NA,3,NA,1,NA,1,NA,2
1103236,462,NA,2,NA,1,NA,3,NA,2,NA,1,NA,2
1103237,330,NA,2,NA,3,NA,3,NA,2,NA,2,NA,3
1103238,360,NA,1,NA,1,NA,3,NA,1,NA,2,NA,3
1103239,597,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103240,375,NA,1,NA,1,NA,3,NA,1,NA,1,NA,2
1103241,422,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1103242,625,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1103243,524,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103244,646,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1103245,324,NA,2,NA,3,NA,3,NA,3,NA,2,NA,3
1103246,337,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103247,408,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1103248,388,NA,2,NA,3,NA,3,NA,2,NA,2,NA,3
1103301,220,NA,1,NA,3,NA,1,NA,1,NA,3,NA,2
1103302,495,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2
1103303,394,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103304,336,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103305,304,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103306,264,NA,1,NA,3,NA,2,NA,1,NA,2,NA,2
1103307,208,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1103308,413,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103309,192,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103310,329,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
