"SA1","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2110547,272,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1
2110548,202,NA,2,NA,3,NA,3,NA,1,NA,1,NA,1
2110549,339,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1
2110550,415,NA,1,NA,1,NA,3,NA,2,NA,3,NA,1
2110601,570,NA,3,NA,2,NA,3,NA,1,NA,3,NA,1
2110602,586,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110603,436,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110604,465,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110605,400,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110606,317,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110607,456,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110608,494,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
2110609,528,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110610,337,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110611,465,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110612,530,NA,2,NA,1,NA,3,NA,1,NA,3,NA,2
2110613,415,NA,3,NA,3,NA,3,NA,1,NA,3,NA,1
2110614,642,NA,3,NA,2,NA,3,NA,1,NA,3,NA,1
2110615,395,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110616,317,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1
2110617,517,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110618,335,NA,3,NA,3,NA,2,NA,1,NA,3,NA,1
2110619,287,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1
2110701,475,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2110702,386,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110703,472,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110704,368,NA,1,NA,2,NA,3,NA,2,NA,3,NA,2
2110705,493,NA,3,NA,2,NA,3,NA,1,NA,2,NA,2
2110706,622,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2110707,593,NA,3,NA,2,NA,2,NA,1,NA,3,NA,2
2110708,360,NA,3,NA,3,NA,3,NA,1,NA,2,NA,1
2110709,646,NA,3,NA,3,NA,3,NA,1,NA,2,NA,1
2110710,322,NA,3,NA,3,NA,3,NA,1,NA,2,NA,1
2110711,313,NA,2,NA,3,NA,3,NA,2,NA,1,NA,1
2110712,496,NA,3,NA,2,NA,3,NA,2,NA,3,NA,2
2110713,458,NA,3,NA,3,NA,2,NA,1,NA,3,NA,2
2110714,486,NA,3,NA,2,NA,3,NA,2,NA,3,NA,2
2110715,482,NA,3,NA,3,NA,3,NA,1,NA,1,NA,3
2110716,454,NA,3,NA,2,NA,3,NA,2,NA,1,NA,1
2110717,353,NA,1,NA,2,NA,2,NA,2,NA,3,NA,2
2110718,358,NA,3,NA,3,NA,3,NA,1,NA,3,NA,1
2110719,571,NA,3,NA,3,NA,2,NA,1,NA,2,NA,2
2110720,539,NA,3,NA,3,NA,3,NA,1,NA,3,NA,1
2110721,409,NA,3,NA,3,NA,3,NA,1,NA,3,NA,1
2110722,209,NA,1,NA,3,NA,2,NA,2,NA,3,NA,1
2110723,330,NA,2,NA,3,NA,2,NA,2,NA,3,NA,2
2110724,339,NA,2,NA,3,NA,3,NA,1,NA,3,NA,1
2110725,465,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110726,411,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110727,342,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2
2110728,280,NA,2,NA,3,NA,2,NA,2,NA,2,NA,2
2110729,298,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110730,295,NA,1,NA,3,NA,3,NA,1,NA,2,NA,1
2110731,524,NA,3,NA,2,NA,3,NA,1,NA,3,NA,2
2110801,325,NA,2,NA,3,NA,3,NA,1,NA,2,NA,1
2110802,246,NA,1,NA,3,NA,3,NA,1,NA,1,NA,2
2110803,538,NA,2,NA,1,NA,1,NA,1,NA,2,NA,3
2110804,330,NA,1,NA,2,NA,3,NA,1,NA,3,NA,2
2110805,538,NA,3,NA,2,NA,2,NA,1,NA,2,NA,2
2110806,468,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
2110807,317,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1
2110808,420,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
2110809,566,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
2110810,447,NA,2,NA,2,NA,1,NA,2,NA,3,NA,2
2110811,408,NA,3,NA,3,NA,2,NA,1,NA,2,NA,3
2110812,253,NA,1,NA,3,NA,1,NA,1,NA,3,NA,2
2110813,379,NA,3,NA,3,NA,1,NA,1,NA,3,NA,3
2110814,428,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2110815,536,NA,3,NA,2,NA,1,NA,1,NA,2,NA,2
2110816,412,NA,1,NA,1,NA,1,NA,1,NA,1,NA,2
2110817,327,NA,1,NA,1,NA,1,NA,1,NA,1,NA,2
2110818,318,NA,2,NA,3,NA,2,NA,1,NA,2,NA,3
2110819,584,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
2110820,568,NA,3,NA,2,NA,2,NA,1,NA,1,NA,3
2110821,522,NA,3,NA,2,NA,3,NA,1,NA,2,NA,3
2110822,731,NA,3,NA,2,NA,3,NA,1,NA,3,NA,1
2110823,555,NA,3,NA,2,NA,2,NA,2,NA,2,NA,3
2110824,556,NA,2,NA,1,NA,1,NA,2,NA,3,NA,2
2110825,566,NA,3,NA,2,NA,2,NA,2,NA,3,NA,3
2110826,365,NA,2,NA,2,NA,2,NA,1,NA,3,NA,2
2110827,360,NA,2,NA,2,NA,2,NA,1,NA,3,NA,3
2110828,408,NA,2,NA,2,NA,1,NA,2,NA,3,NA,3
2110829,498,NA,2,NA,1,NA,1,NA,1,NA,3,NA,2
2110830,329,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
2110831,519,NA,2,NA,1,NA,1,NA,2,NA,3,NA,2
2110832,400,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3
2110833,544,NA,3,NA,2,NA,3,NA,2,NA,3,NA,2
2110834,422,NA,2,NA,2,NA,2,NA,1,NA,2,NA,2
2110835,402,NA,2,NA,2,NA,2,NA,2,NA,3,NA,3
2110836,378,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2
2110837,311,NA,1,NA,3,NA,1,NA,2,NA,2,NA,3
2110838,574,NA,2,NA,1,NA,1,NA,2,NA,3,NA,2
2110839,307,NA,2,NA,3,NA,2,NA,1,NA,2,NA,2
2110840,301,NA,2,NA,3,NA,2,NA,1,NA,1,NA,3
2110841,422,NA,3,NA,3,NA,3,NA,1,NA,3,NA,2
2110842,429,NA,3,NA,3,NA,3,NA,1,NA,2,NA,2
2110843,427,NA,3,NA,3,NA,2,NA,1,NA,2,NA,3
2110844,447,NA,3,NA,3,NA,2,NA,1,NA,2,NA,2
2110845,336,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
2110846,431,NA,3,NA,3,NA,2,NA,1,NA,2,NA,3
2110847,385,NA,3,NA,3,NA,2,NA,1,NA,2,NA,2
2110848,237,NA,1,NA,3,NA,1,NA,1,NA,1,NA,1
2110849,460,NA,3,NA,2,NA,2,NA,1,NA,2,NA,2
2110850,443,NA,2,NA,2,NA,2,NA,1,NA,2,NA,3
2110851,296,NA,1,NA,3,NA,2,NA,1,NA,2,NA,2
2110852,214,NA,2,NA,3,NA,3,NA,1,NA,1,NA,1
2110853,753,NA,3,NA,1,NA,3,NA,1,NA,2,NA,1
2110854,308,NA,2,NA,3,NA,2,NA,1,NA,2,NA,2
2110855,410,NA,3,NA,3,NA,2,NA,1,NA,2,NA,2
2110856,197,NA,1,NA,3,NA,3,NA,2,NA,3,NA,2
2110857,245,NA,1,NA,3,NA,2,NA,1,NA,1,NA,2
2110858,493,NA,2,NA,2,NA,1,NA,1,NA,3,NA,3
2110859,309,NA,1,NA,2,NA,3,NA,2,NA,2,NA,2
2110860,296,NA,1,NA,3,NA,3,NA,2,NA,2,NA,1
2110901,525,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
2110902,371,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
2110903,311,NA,1,NA,1,NA,1,NA,2,NA,2,NA,2
2110904,432,NA,2,NA,1,NA,1,NA,2,NA,3,NA,3
2110905,341,NA,2,NA,3,NA,2,NA,2,NA,3,NA,3
2110906,501,NA,1,NA,1,NA,1,NA,2,NA,3,NA,2
2110907,436,NA,2,NA,2,NA,1,NA,2,NA,3,NA,3
2110908,315,NA,1,NA,2,NA,1,NA,2,NA,3,NA,3
2110909,493,NA,3,NA,2,NA,2,NA,2,NA,3,NA,3
2110910,300,NA,2,NA,3,NA,2,NA,2,NA,3,NA,2
2110911,446,NA,2,NA,2,NA,1,NA,2,NA,3,NA,3
2110912,403,NA,2,NA,3,NA,1,NA,1,NA,3,NA,3
2110913,452,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3
2110914,319,NA,1,NA,1,NA,1,NA,2,NA,3,NA,2
2110915,404,NA,1,NA,1,NA,1,NA,2,NA,3,NA,2
2110916,349,NA,2,NA,3,NA,2,NA,2,NA,3,NA,3
2110917,395,NA,1,NA,1,NA,1,NA,2,NA,3,NA,3
2110918,506,NA,3,NA,2,NA,1,NA,1,NA,3,NA,3
2110919,374,NA,1,NA,1,NA,3,NA,2,NA,2,NA,3
2110920,367,NA,3,NA,3,NA,3,NA,1,NA,2,NA,3
2110921,387,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
2110922,453,NA,3,NA,2,NA,1,NA,1,NA,2,NA,2
2110923,426,NA,3,NA,3,NA,2,NA,2,NA,3,NA,2
2110924,248,NA,1,NA,2,NA,1,NA,2,NA,3,NA,2
2111001,396,NA,1,NA,1,NA,2,NA,2,NA,2,NA,1
2111002,406,NA,1,NA,1,NA,3,NA,3,NA,3,NA,1
2111003,502,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2111004,288,NA,1,NA,2,NA,2,NA,3,NA,2,NA,3
2111005,226,NA,1,NA,3,NA,3,NA,2,NA,3,NA,1
2111006,511,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2111007,484,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2111008,504,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111009,NA,NA,1,NA,3,NA,3,NA,3,NA,NA,NA,NA
2111010,620,NA,3,NA,1,NA,3,NA,2,NA,3,NA,3
2111011,295,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111012,472,NA,2,NA,1,NA,2,NA,2,NA,3,NA,1
2111013,547,NA,3,NA,1,NA,3,NA,3,NA,3,NA,1
2111014,371,NA,3,NA,3,NA,2,NA,1,NA,3,NA,2
2111015,639,NA,3,NA,1,NA,2,NA,2,NA,3,NA,2
2111016,434,NA,2,NA,2,NA,1,NA,3,NA,3,NA,3
2111017,268,NA,1,NA,2,NA,1,NA,2,NA,2,NA,3
2111018,366,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2111019,449,NA,2,NA,2,NA,3,NA,2,NA,3,NA,3
2111020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2111021,14,NA,1,NA,3,NA,3,NA,3,NA,1,NA,1
2111022,393,NA,2,NA,3,NA,3,NA,2,NA,3,NA,2
2111101,374,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2
2111102,288,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1
2111103,685,NA,3,NA,1,NA,3,NA,2,NA,2,NA,1
2111104,600,NA,3,NA,2,NA,3,NA,1,NA,3,NA,2
2111105,570,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111106,341,NA,1,NA,2,NA,1,NA,2,NA,2,NA,2
2111107,522,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2111108,607,NA,2,NA,1,NA,3,NA,2,NA,3,NA,2
2111109,317,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1
2111110,534,NA,1,NA,1,NA,2,NA,2,NA,3,NA,2
2111111,258,NA,1,NA,2,NA,1,NA,3,NA,3,NA,3
2111112,607,NA,2,NA,1,NA,1,NA,2,NA,3,NA,2
2111113,599,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2111114,561,NA,3,NA,1,NA,2,NA,2,NA,2,NA,2
2111115,478,NA,2,NA,1,NA,2,NA,2,NA,3,NA,3
2111116,238,NA,1,NA,3,NA,2,NA,2,NA,3,NA,1
2111117,398,NA,2,NA,2,NA,1,NA,2,NA,3,NA,2
2111118,466,NA,2,NA,2,NA,1,NA,2,NA,3,NA,2
2111119,311,NA,2,NA,3,NA,2,NA,1,NA,2,NA,2
2111120,341,NA,2,NA,3,NA,3,NA,2,NA,1,NA,1
2111121,335,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1
2111122,333,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2111123,579,NA,3,NA,2,NA,3,NA,2,NA,2,NA,3
2111124,395,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2111125,265,NA,1,NA,3,NA,3,NA,2,NA,2,NA,1
2111126,418,NA,3,NA,3,NA,3,NA,2,NA,2,NA,3
2111127,407,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2111128,547,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111129,492,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2111130,560,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2111131,299,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111132,472,NA,2,NA,2,NA,1,NA,2,NA,3,NA,2
2111133,509,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2111134,335,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2111135,420,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2111136,602,NA,2,NA,1,NA,2,NA,2,NA,3,NA,1
2111137,496,NA,3,NA,3,NA,2,NA,2,NA,3,NA,2
2111138,430,NA,3,NA,3,NA,1,NA,2,NA,3,NA,2
2111139,333,NA,1,NA,2,NA,1,NA,3,NA,2,NA,1
2111140,539,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111141,379,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2111142,407,NA,1,NA,1,NA,3,NA,3,NA,1,NA,3
2111143,575,NA,2,NA,1,NA,3,NA,2,NA,3,NA,2
2111144,386,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2111145,532,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2111146,433,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2111147,371,NA,2,NA,2,NA,1,NA,2,NA,3,NA,2
2111148,612,NA,3,NA,2,NA,3,NA,2,NA,3,NA,2
2111149,384,NA,1,NA,1,NA,2,NA,2,NA,3,NA,2
2111150,249,NA,1,NA,3,NA,3,NA,1,NA,1,NA,3
2111151,370,NA,1,NA,2,NA,3,NA,3,NA,2,NA,1
2111152,370,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2111201,531,NA,3,NA,2,NA,2,NA,2,NA,2,NA,3
2111202,449,NA,2,NA,1,NA,2,NA,1,NA,2,NA,3
2111203,353,NA,1,NA,2,NA,1,NA,1,NA,1,NA,2
2111204,290,NA,2,NA,3,NA,3,NA,1,NA,3,NA,2
2111205,621,NA,3,NA,2,NA,3,NA,1,NA,2,NA,2
2111206,369,NA,2,NA,3,NA,2,NA,2,NA,2,NA,1
2111207,474,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111208,361,NA,2,NA,3,NA,3,NA,2,NA,3,NA,2
2111209,516,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2111210,471,NA,2,NA,1,NA,2,NA,1,NA,2,NA,3
2111211,270,NA,1,NA,3,NA,2,NA,2,NA,3,NA,2
2111212,476,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2
2111213,440,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2111214,484,NA,3,NA,2,NA,2,NA,2,NA,3,NA,3
2111215,393,NA,2,NA,2,NA,2,NA,1,NA,3,NA,2
2111216,436,NA,3,NA,3,NA,3,NA,1,NA,2,NA,2
2111217,356,NA,1,NA,1,NA,3,NA,1,NA,3,NA,1
2111218,307,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2
2111219,436,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2111220,481,NA,3,NA,2,NA,2,NA,1,NA,3,NA,3
2111221,506,NA,3,NA,2,NA,3,NA,2,NA,3,NA,3
2111222,281,NA,2,NA,3,NA,2,NA,2,NA,2,NA,2
2111223,498,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2111224,445,NA,3,NA,2,NA,2,NA,1,NA,2,NA,3
2111225,589,NA,2,NA,1,NA,1,NA,1,NA,1,NA,2
2111226,413,NA,3,NA,3,NA,1,NA,2,NA,3,NA,1
2111227,349,NA,1,NA,2,NA,3,NA,1,NA,2,NA,1
2111228,485,NA,2,NA,1,NA,1,NA,2,NA,3,NA,1
2111229,438,NA,2,NA,1,NA,3,NA,2,NA,3,NA,2
2111230,490,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2111231,226,NA,1,NA,3,NA,3,NA,2,NA,2,NA,3
2111232,445,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2111233,423,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111234,455,NA,2,NA,2,NA,3,NA,2,NA,2,NA,1
2111235,557,NA,3,NA,2,NA,3,NA,2,NA,3,NA,2
2111236,258,NA,2,NA,3,NA,1,NA,2,NA,3,NA,3
2111237,342,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2111238,385,NA,3,NA,3,NA,3,NA,2,NA,3,NA,2
2111239,400,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2111240,279,NA,1,NA,2,NA,3,NA,2,NA,2,NA,2
2111241,293,NA,1,NA,3,NA,3,NA,1,NA,2,NA,2
2111242,349,NA,2,NA,3,NA,3,NA,1,NA,2,NA,1
2111301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2111302,323,NA,2,NA,3,NA,2,NA,2,NA,3,NA,2
2111303,596,NA,2,NA,1,NA,1,NA,3,NA,3,NA,2
2111304,611,NA,2,NA,1,NA,2,NA,3,NA,3,NA,3
2111305,702,NA,3,NA,1,NA,2,NA,3,NA,3,NA,3
2111306,666,NA,3,NA,1,NA,2,NA,3,NA,3,NA,2
2111307,594,NA,2,NA,1,NA,3,NA,3,NA,2,NA,3
2111308,334,NA,1,NA,2,NA,3,NA,3,NA,3,NA,2
2111309,343,NA,1,NA,2,NA,3,NA,3,NA,3,NA,1
2111310,279,NA,1,NA,3,NA,3,NA,2,NA,3,NA,2
2111311,597,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2111312,511,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2
2111313,418,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2111314,398,NA,1,NA,1,NA,2,NA,3,NA,3,NA,2
2111315,424,NA,2,NA,2,NA,3,NA,2,NA,2,NA,1
2111316,449,NA,3,NA,3,NA,1,NA,1,NA,1,NA,3
2111317,509,NA,3,NA,3,NA,1,NA,1,NA,1,NA,1
2111318,292,NA,1,NA,3,NA,1,NA,1,NA,1,NA,1
2111319,474,NA,2,NA,1,NA,3,NA,2,NA,2,NA,1
2111320,388,NA,3,NA,3,NA,2,NA,2,NA,1,NA,2
2111321,416,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1
2111322,346,NA,2,NA,3,NA,3,NA,1,NA,3,NA,2
2111323,382,NA,2,NA,3,NA,2,NA,2,NA,3,NA,3
2111324,515,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2111325,382,NA,1,NA,1,NA,2,NA,3,NA,3,NA,1
2111326,446,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2111327,562,NA,2,NA,1,NA,2,NA,2,NA,3,NA,1
2111328,448,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1
2111329,211,NA,1,NA,2,NA,2,NA,2,NA,3,NA,2
2111330,308,NA,1,NA,3,NA,3,NA,2,NA,3,NA,2
2111331,317,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111332,253,NA,1,NA,3,NA,2,NA,1,NA,1,NA,2
2111401,246,NA,1,NA,2,NA,2,NA,3,NA,3,NA,2
2111402,476,NA,2,NA,1,NA,2,NA,3,NA,3,NA,3
2111403,364,NA,2,NA,3,NA,3,NA,2,NA,3,NA,3
2111404,365,NA,2,NA,2,NA,3,NA,2,NA,3,NA,3
2111405,370,NA,2,NA,3,NA,3,NA,2,NA,3,NA,3
2111406,519,NA,2,NA,1,NA,2,NA,3,NA,3,NA,3
2111407,561,NA,2,NA,1,NA,2,NA,2,NA,3,NA,3
2111408,402,NA,1,NA,1,NA,2,NA,2,NA,3,NA,3
2111409,548,NA,2,NA,1,NA,2,NA,2,NA,3,NA,3
2111410,516,NA,1,NA,1,NA,1,NA,3,NA,3,NA,3
2111411,282,NA,1,NA,3,NA,1,NA,2,NA,3,NA,3
2111412,356,NA,1,NA,1,NA,2,NA,3,NA,3,NA,2
2111413,635,NA,3,NA,1,NA,2,NA,3,NA,3,NA,3
2111414,481,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111415,228,NA,1,NA,3,NA,1,NA,2,NA,3,NA,3
2111416,319,NA,1,NA,1,NA,2,NA,3,NA,2,NA,2
2111417,397,NA,2,NA,2,NA,1,NA,3,NA,2,NA,2
2111418,379,NA,2,NA,3,NA,1,NA,3,NA,2,NA,3
2111419,265,NA,1,NA,2,NA,1,NA,3,NA,1,NA,1
2111420,327,NA,2,NA,3,NA,1,NA,2,NA,2,NA,3
2111421,492,NA,2,NA,2,NA,2,NA,3,NA,3,NA,2
2111422,301,NA,1,NA,1,NA,1,NA,2,NA,3,NA,2
2111423,463,NA,2,NA,1,NA,2,NA,3,NA,3,NA,2
2111424,300,NA,1,NA,2,NA,2,NA,3,NA,3,NA,3
2111425,426,NA,1,NA,1,NA,2,NA,2,NA,3,NA,3
2111426,412,NA,1,NA,1,NA,2,NA,2,NA,3,NA,3
2111427,592,NA,3,NA,2,NA,3,NA,2,NA,3,NA,3
2111428,463,NA,2,NA,1,NA,3,NA,3,NA,3,NA,3
2111429,361,NA,2,NA,2,NA,2,NA,3,NA,3,NA,2
2111430,318,NA,2,NA,3,NA,2,NA,3,NA,3,NA,3
2111431,326,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111432,382,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2111433,425,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2111434,317,NA,1,NA,1,NA,1,NA,3,NA,2,NA,1
2111435,492,NA,2,NA,2,NA,3,NA,2,NA,3,NA,3
2111436,350,NA,1,NA,2,NA,2,NA,2,NA,3,NA,2
2111437,573,NA,3,NA,1,NA,2,NA,2,NA,3,NA,2
2111438,503,NA,3,NA,2,NA,2,NA,3,NA,3,NA,2
2111439,313,NA,2,NA,3,NA,1,NA,2,NA,2,NA,2
2111440,495,NA,2,NA,1,NA,2,NA,3,NA,3,NA,3
2111441,513,NA,2,NA,1,NA,2,NA,3,NA,3,NA,3
2111442,529,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2111443,427,NA,2,NA,2,NA,3,NA,3,NA,2,NA,2
2111444,588,NA,3,NA,1,NA,3,NA,2,NA,3,NA,2
2111445,424,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2111446,413,NA,2,NA,2,NA,3,NA,3,NA,3,NA,1
2111447,398,NA,2,NA,2,NA,3,NA,2,NA,2,NA,3
2111448,374,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1
