"SA1","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2110501,213,NA,1,NA,3,NA,3,NA,2,NA,3,NA,2
2110502,606,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110503,460,NA,2,NA,1,NA,2,NA,2,NA,1,NA,2
2110504,314,NA,2,NA,3,NA,3,NA,1,NA,3,NA,1
2110505,323,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1
2110506,466,NA,3,NA,3,NA,3,NA,1,NA,2,NA,2
2110507,457,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110508,383,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110509,301,NA,1,NA,3,NA,3,NA,2,NA,3,NA,1
2110510,576,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110511,1043,NA,3,NA,1,NA,3,NA,2,NA,3,NA,1
2110512,325,NA,1,NA,2,NA,2,NA,2,NA,3,NA,3
2110513,784,NA,3,NA,1,NA,3,NA,2,NA,3,NA,1
2110514,450,NA,3,NA,3,NA,2,NA,2,NA,3,NA,1
2110515,380,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2
2110516,259,NA,1,NA,2,NA,3,NA,1,NA,2,NA,2
2110517,442,NA,3,NA,3,NA,2,NA,2,NA,3,NA,1
2110518,403,NA,2,NA,2,NA,3,NA,1,NA,3,NA,1
2110519,326,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110520,384,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
2110521,410,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110522,648,NA,3,NA,2,NA,3,NA,1,NA,3,NA,1
2110523,690,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110524,454,NA,2,NA,2,NA,3,NA,1,NA,3,NA,1
2110525,348,NA,3,NA,3,NA,3,NA,2,NA,2,NA,1
2110526,439,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2110527,326,NA,1,NA,2,NA,3,NA,1,NA,3,NA,1
2110528,304,NA,2,NA,3,NA,2,NA,1,NA,2,NA,2
2110529,488,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2110530,498,NA,2,NA,2,NA,3,NA,1,NA,2,NA,2
2110531,571,NA,3,NA,3,NA,3,NA,1,NA,2,NA,1
2110532,205,NA,1,NA,3,NA,3,NA,1,NA,3,NA,1
2110533,471,NA,3,NA,3,NA,2,NA,2,NA,3,NA,2
2110534,605,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110535,623,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110536,358,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110537,476,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110538,499,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110539,412,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110540,519,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110541,589,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2
2110542,445,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110543,546,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110544,863,NA,3,NA,1,NA,3,NA,1,NA,3,NA,1
2110545,593,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110546,265,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
