"SA1","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2110619,307,NA,1,NA,2,NA,2,NA,2,NA,3,NA,1
2110701,510,NA,2,NA,1,NA,2,NA,3,NA,3,NA,1
2110702,343,NA,2,NA,3,NA,2,NA,1,NA,3,NA,1
2110703,496,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110704,385,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110705,511,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2
2110706,610,NA,3,NA,1,NA,2,NA,3,NA,3,NA,1
2110707,602,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2110708,360,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110709,763,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110710,323,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110711,581,NA,3,NA,3,NA,3,NA,2,NA,1,NA,1
2110712,495,NA,3,NA,2,NA,3,NA,2,NA,3,NA,2
2110713,476,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110714,465,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2
2110715,508,NA,3,NA,3,NA,3,NA,2,NA,2,NA,3
2110716,473,NA,3,NA,3,NA,3,NA,2,NA,2,NA,1
2110717,373,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110718,392,NA,2,NA,3,NA,3,NA,1,NA,1,NA,1
2110719,568,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2
2110720,526,NA,3,NA,3,NA,3,NA,1,NA,3,NA,1
2110721,392,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110722,192,NA,1,NA,3,NA,2,NA,2,NA,3,NA,1
2110723,328,NA,1,NA,2,NA,2,NA,2,NA,3,NA,1
2110724,357,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110725,492,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2110726,438,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110727,327,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2
2110728,317,NA,1,NA,3,NA,2,NA,2,NA,3,NA,2
2110729,331,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110730,269,NA,2,NA,3,NA,3,NA,1,NA,1,NA,1
2110731,544,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110801,350,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2
2110802,301,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110803,560,NA,2,NA,1,NA,3,NA,1,NA,2,NA,2
2110804,325,NA,1,NA,3,NA,2,NA,1,NA,3,NA,1
2110805,572,NA,3,NA,2,NA,2,NA,1,NA,3,NA,2
2110806,497,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
2110807,625,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110808,457,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
2110809,513,NA,3,NA,2,NA,2,NA,1,NA,3,NA,2
2110810,416,NA,1,NA,1,NA,1,NA,2,NA,3,NA,2
2110811,400,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2110812,254,NA,1,NA,2,NA,1,NA,2,NA,3,NA,1
2110813,369,NA,2,NA,2,NA,1,NA,2,NA,3,NA,2
2110814,450,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2110815,535,NA,3,NA,2,NA,2,NA,2,NA,3,NA,3
2110816,419,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
2110817,306,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3
2110818,318,NA,1,NA,3,NA,1,NA,1,NA,2,NA,2
2110819,584,NA,3,NA,1,NA,3,NA,2,NA,3,NA,1
2110820,589,NA,3,NA,2,NA,2,NA,2,NA,1,NA,2
2110821,516,NA,3,NA,3,NA,3,NA,1,NA,2,NA,2
2110822,724,NA,3,NA,1,NA,3,NA,1,NA,3,NA,1
2110823,562,NA,2,NA,1,NA,1,NA,2,NA,3,NA,2
2110824,560,NA,2,NA,1,NA,1,NA,2,NA,3,NA,2
2110825,619,NA,3,NA,2,NA,2,NA,2,NA,2,NA,2
2110826,388,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2
2110827,434,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2
2110828,441,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110829,493,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
2110830,331,NA,1,NA,1,NA,1,NA,2,NA,2,NA,3
2110831,524,NA,3,NA,2,NA,1,NA,2,NA,3,NA,2
2110832,462,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2
2110833,646,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110834,408,NA,2,NA,2,NA,3,NA,2,NA,1,NA,1
2110835,409,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2
2110836,372,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110837,301,NA,1,NA,3,NA,1,NA,2,NA,3,NA,3
2110838,593,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2110839,334,NA,1,NA,1,NA,2,NA,2,NA,2,NA,3
2110840,308,NA,2,NA,3,NA,2,NA,1,NA,2,NA,2
2110841,453,NA,2,NA,2,NA,3,NA,1,NA,2,NA,2
2110842,460,NA,3,NA,3,NA,3,NA,1,NA,1,NA,2
2110843,416,NA,2,NA,2,NA,2,NA,1,NA,2,NA,3
2110844,463,NA,2,NA,2,NA,2,NA,2,NA,3,NA,3
2110845,329,NA,1,NA,2,NA,1,NA,2,NA,2,NA,3
2110846,445,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110847,368,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110848,267,NA,1,NA,3,NA,2,NA,1,NA,2,NA,2
2110849,493,NA,2,NA,1,NA,1,NA,1,NA,3,NA,2
2110850,481,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110851,305,NA,1,NA,3,NA,2,NA,1,NA,2,NA,3
2110852,199,NA,1,NA,3,NA,3,NA,1,NA,2,NA,2
2110853,784,NA,3,NA,2,NA,3,NA,1,NA,2,NA,1
2110854,319,NA,2,NA,3,NA,3,NA,1,NA,2,NA,2
2110855,376,NA,2,NA,2,NA,2,NA,1,NA,2,NA,2
2110856,189,NA,1,NA,3,NA,2,NA,3,NA,2,NA,3
2110857,232,NA,1,NA,2,NA,1,NA,2,NA,2,NA,2
2110858,510,NA,2,NA,2,NA,1,NA,1,NA,2,NA,2
2110859,298,NA,2,NA,3,NA,3,NA,2,NA,3,NA,2
2110860,515,NA,3,NA,3,NA,3,NA,2,NA,1,NA,1
2110901,545,NA,2,NA,1,NA,2,NA,2,NA,2,NA,2
2110902,410,NA,1,NA,1,NA,2,NA,2,NA,3,NA,2
2110903,359,NA,1,NA,1,NA,2,NA,2,NA,2,NA,3
