"CD","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
"1421501",976,NA,3,NA,2,NA,3,NA,1,NA,2,NA,3
"1421502",795,NA,3,NA,3,NA,2,NA,1,NA,2,NA,2
"1421503",352,NA,3,NA,3,NA,3,NA,1,NA,2,NA,3
"1421504",234,NA,1,NA,3,NA,2,NA,1,NA,1,NA,3
"1421505",597,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2
"1421506",1150,NA,3,NA,1,NA,3,NA,2,NA,3,NA,3
"1421507",714,NA,3,NA,3,NA,3,NA,2,NA,2,NA,3
"1421508",568,NA,3,NA,3,NA,1,NA,2,NA,2,NA,1
"1421509",375,NA,2,NA,3,NA,1,NA,1,NA,2,NA,2
"1421510",701,NA,3,NA,3,NA,2,NA,1,NA,2,NA,2
"1421511",598,NA,3,NA,3,NA,2,NA,1,NA,1,NA,2
"1421512",495,NA,2,NA,3,NA,2,NA,1,NA,1,NA,2
"1421513",459,NA,2,NA,3,NA,1,NA,2,NA,2,NA,2
"1421514",1037,NA,3,NA,2,NA,3,NA,2,NA,3,NA,3
"1421601",414,NA,2,NA,3,NA,2,NA,1,NA,1,NA,2
"1421602",446,NA,2,NA,3,NA,2,NA,1,NA,1,NA,3
"1421603",928,NA,3,NA,2,NA,1,NA,1,NA,1,NA,2
"1421604",416,NA,3,NA,3,NA,1,NA,1,NA,1,NA,1
"1421605",480,NA,3,NA,3,NA,1,NA,1,NA,1,NA,2
"1421606",347,NA,2,NA,3,NA,1,NA,1,NA,2,NA,2
"1421607",540,NA,3,NA,3,NA,2,NA,1,NA,1,NA,2
"1421608",457,NA,3,NA,3,NA,1,NA,2,NA,1,NA,1
"1421609",677,NA,3,NA,3,NA,1,NA,1,NA,1,NA,2
"1421610",511,NA,3,NA,3,NA,1,NA,1,NA,2,NA,1
"1421611",319,NA,1,NA,3,NA,1,NA,1,NA,1,NA,1
"1421612",672,NA,3,NA,2,NA,1,NA,1,NA,2,NA,2
"1421613",568,NA,3,NA,3,NA,2,NA,1,NA,2,NA,2
"1421614",340,NA,1,NA,3,NA,2,NA,2,NA,2,NA,2
"1421701",651,NA,3,NA,3,NA,1,NA,1,NA,2,NA,2
"1421702",936,NA,3,NA,2,NA,2,NA,1,NA,2,NA,2
"1421703",317,NA,2,NA,3,NA,1,NA,1,NA,1,NA,1
"1421704",628,NA,3,NA,3,NA,3,NA,1,NA,1,NA,3
"1421705",374,NA,3,NA,3,NA,3,NA,1,NA,1,NA,3
"1421706",548,NA,2,NA,3,NA,3,NA,1,NA,1,NA,2
"1421707",673,NA,3,NA,3,NA,3,NA,1,NA,1,NA,2
"1421708",506,NA,3,NA,3,NA,3,NA,1,NA,1,NA,2
"1421709",585,NA,3,NA,3,NA,3,NA,1,NA,1,NA,2
"1421710",634,NA,3,NA,3,NA,1,NA,1,NA,1,NA,1
"1421711",416,NA,3,NA,3,NA,2,NA,1,NA,1,NA,1
"1421801",344,NA,2,NA,3,NA,1,NA,2,NA,2,NA,2
"1421802",433,NA,3,NA,3,NA,2,NA,1,NA,1,NA,2
"1421803",1104,NA,3,NA,1,NA,2,NA,2,NA,3,NA,2
"1421804",724,NA,3,NA,3,NA,1,NA,2,NA,1,NA,1
"1421805",459,NA,2,NA,3,NA,1,NA,1,NA,1,NA,1
"1421806",794,NA,3,NA,2,NA,1,NA,2,NA,3,NA,2
"1421807",632,NA,3,NA,3,NA,1,NA,2,NA,2,NA,2
